urun,al_depo,al_yer,al_fiyat_tl_ton,sat_depo,sat_yer,sat_fiyat_tl_ton,mesafe_km,navlun_sabit_tl_ton,navlun_degisken_tl_ton,navlun_toplam_tl_ton,fiyat_farki_tl_ton,net_marj_tl_ton
"MISIR 1.SINIF","AĞALAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KARATAY,12200,"ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KPINAR,13868,1,164,4,167,1668,1500
"MISIR 2.SINIF","ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12230,"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/ÇUMRA,14055,55,164,166,330,1824,1495
"ARPA 2.SINIF","İSMAİL HAKAN BALTAOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,11125,"YUSUF ZENGİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12763,0,164,0,164,1638,1474
"MISIR 1.SINIF","İSMAİL HAKAN BALTAOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12349,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/ÇUMRA,14143,55,164,166,330,1795,1465
"ARPA 2.SINIF","İSMAİL HAKAN BALTAOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,11125,"TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KHANI,12746,0,164,0,164,1621,1458
"BUĞDAY EKMEKLİK KIRMIZI 2.SINIF","MİLL STAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/ÇELTİK,15624,"PTB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ANKARA/POLATLI,17500,91,164,275,438,1876,1438
"MISIR 1.SINIF","TAŞKIRAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/ÇUMRA,12545,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/ÇUMRA,14143,0,164,0,164,1598,1435
"BUĞDAY EKMEKLİK KIRMIZI 3.SINIF","ÖZAKAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/CBEYLİ,14600,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KARATAY,16200,1,164,4,167,1600,1433
"MISIR 1.SINIF","TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KHANI,12275,"ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KPINAR,13868,0,164,0,164,1592,1429
"MISIR 1.SINIF","AĞALAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KARATAY,12200,"KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/MERKEZ,14400,202,164,612,776,2200,1424
